Namespace(batch_size=12, class_choice=None, dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='part_seg', k=40, lr=0.001, model='dgcnn', model_path='/home/huijie/research/EECS542/FM-3DNet/part_seg/models/40.pth', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=12, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 83, loss: 1.828822, train acc: 0.718459, train avg acc: 0.433568, train iou: 0.498251
Test 83, loss: 1.800290, test acc: 0.728932, test avg acc: 0.448579, test iou: 0.527107
Train 84, loss: 1.832502, train acc: 0.716671, train avg acc: 0.431431, train iou: 0.496506
Test 84, loss: 1.878383, test acc: 0.675113, test avg acc: 0.420503, test iou: 0.472852
Train 85, loss: 1.827092, train acc: 0.718089, train avg acc: 0.431123, train iou: 0.497493
Test 85, loss: 1.807758, test acc: 0.726615, test avg acc: 0.444865, test iou: 0.513062
Train 86, loss: 1.830655, train acc: 0.718298, train avg acc: 0.432678, train iou: 0.498017
Test 86, loss: 1.834914, test acc: 0.715702, test avg acc: 0.429863, test iou: 0.499284
Train 87, loss: 1.828772, train acc: 0.719506, train avg acc: 0.433290, train iou: 0.499663
Test 87, loss: 1.835556, test acc: 0.714293, test avg acc: 0.430153, test iou: 0.503005
Train 88, loss: 1.827203, train acc: 0.719317, train avg acc: 0.434752, train iou: 0.499340
Test 88, loss: 1.865062, test acc: 0.701101, test avg acc: 0.445538, test iou: 0.490946
Train 89, loss: 1.833636, train acc: 0.717595, train avg acc: 0.433175, train iou: 0.496404
Test 89, loss: 1.812481, test acc: 0.732011, test avg acc: 0.434392, test iou: 0.522265
Train 90, loss: 1.826118, train acc: 0.719860, train avg acc: 0.434053, train iou: 0.499074
Test 90, loss: 1.813485, test acc: 0.729527, test avg acc: 0.445681, test iou: 0.521422
Train 91, loss: 1.832124, train acc: 0.717405, train avg acc: 0.431179, train iou: 0.497768
Test 91, loss: 1.854326, test acc: 0.709293, test avg acc: 0.422509, test iou: 0.498897
Train 92, loss: 1.822579, train acc: 0.722089, train avg acc: 0.436314, train iou: 0.501947
Test 92, loss: 1.806894, test acc: 0.722506, test avg acc: 0.437862, test iou: 0.532390
Train 93, loss: 1.814579, train acc: 0.724354, train avg acc: 0.440018, train iou: 0.504980
Test 93, loss: 1.854579, test acc: 0.684319, test avg acc: 0.432010, test iou: 0.490050
Train 94, loss: 1.822899, train acc: 0.721735, train avg acc: 0.436181, train iou: 0.501314
Test 94, loss: 1.798653, test acc: 0.727493, test avg acc: 0.448235, test iou: 0.536524
Train 95, loss: 1.818792, train acc: 0.723456, train avg acc: 0.437411, train iou: 0.504199
Test 95, loss: 1.813641, test acc: 0.728376, test avg acc: 0.438147, test iou: 0.525573
Train 96, loss: 1.816932, train acc: 0.725149, train avg acc: 0.438547, train iou: 0.505924
Test 96, loss: 1.803156, test acc: 0.721191, test avg acc: 0.441603, test iou: 0.521482
Train 97, loss: 1.822076, train acc: 0.722284, train avg acc: 0.437422, train iou: 0.502413
Test 97, loss: 1.814791, test acc: 0.714216, test avg acc: 0.443296, test iou: 0.520150
Train 98, loss: 1.815219, train acc: 0.724851, train avg acc: 0.439007, train iou: 0.504456
Test 98, loss: 1.812838, test acc: 0.713383, test avg acc: 0.442738, test iou: 0.504532
Train 99, loss: 1.819661, train acc: 0.724112, train avg acc: 0.439002, train iou: 0.504859
Test 99, loss: 1.800039, test acc: 0.727276, test avg acc: 0.444407, test iou: 0.523215
Train 100, loss: 1.812954, train acc: 0.725917, train avg acc: 0.439741, train iou: 0.506537
Test 100, loss: 1.806299, test acc: 0.725954, test avg acc: 0.446187, test iou: 0.511334
Train 101, loss: 1.819610, train acc: 0.723924, train avg acc: 0.439669, train iou: 0.505302
Test 101, loss: 1.817862, test acc: 0.703317, test avg acc: 0.438398, test iou: 0.497911
